Global Stream Statistics Counters:
ID:
  TxPortName,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4
  StreamId,0,1,2,3,4,5,6,7
  RxPortName,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5
  TidValueString,0,7,8,9,10,11,12,13
  Description,Stream 0 / 0,Stream number 1,Stream number 2,Stream number 3,Stream number 4,Stream number 5,Stream number 6,Stream number 7
TX Totals:
  TxPercent,10.165444,10.165445,10.165445,10.165444,10.165443,10.165443,10.165444,10.165444
  TxBpsL1,101650000,101650000,101650000,101650000,101650000,101650000,101650000,101650000
  TxBpsL2,100051080,100051090,100051090,100051080,100051070,100051070,100051080,100051080
  TxPps,10021,10021,10021,10021,10021,10021,10021,10021
  TxBytes,2447012960,2447012960,2447012960,2447012960,2447012960,2447012960,2447012960,2447012960
  TxPackets,2982437,2982437,2982437,2982437,2982437,2982437,2982437,2982437
RX Totals:
  RxPercent,10.166034,10.165938,10.165844,10.165844,10.166858,10.165844,10.165843,10.165843
  RxBpsL1,101660000,101660000,101660000,101660000,101670000,101660000,101660000,101660000
  RxBpsL2,100056820,100055860,100054920,100054920,100064900,100054920,100054910,100054910
  RxPps,10022,10022,10022,10022,10023,10022,10022,10022
  RxBytes,2366422656,2366422656,2366422656,2366422656,2366423904,2366425152,2366425152,2366425152
  RxPackets,1896172,1896172,1896172,1896172,1896173,1896174,1896174,1896174
RX Errors:
  TxRxDiff,(running),(running),(running),(running),(running),(running),(running),(running)
  LostPackets,0,0,0,0,0,0,0,0
  MisorderPackets,0,0,0,0,0,0,0,0
  PayloadErrors,0,0,0,0,0,0,0,0
  BitErrorRate,0,0,0,0,0,0,0,0
RX Latency:
  AggrMinLatency,2591,2591,2591,2591,2591,2591,2591,2591
  AggrAvgLatency,2757,2755,2755,2755,2756,2756,2757,2757
  AggrMaxLatency,3481,3024,3096,3168,3216,3289,3337,3409
  AggrLatencyRange,890,433,505,577,625,698,746,818
  CurrMinLatency,2591,2591,2591,2591,2591,2591,2591,2591
  CurrAvgLatency,2757,2754,2755,2755,2756,2756,2756,2757
  CurrMaxLatency,3457,3000,3072,3144,3216,3265,3337,3409
  CurrLatencyRange,866,409,481,553,625,674,746,818
RX Jitter:
  AggrMinJitter,0,0,0,0,0,0,0,0
  AggrAvgJitter,141,135,136,137,138,139,139,140
  AggrMaxJitter,841,384,481,529,577,649,721,769
  AggrJitterRange,841,384,481,529,577,649,721,769
  CurrMinJitter,0,0,0,0,0,0,0,0
  CurrAvgJitter,141,135,137,137,138,138,139,140
  CurrMaxJitter,817,384,408,505,553,625,673,745
  CurrJitterRange,817,384,408,505,553,625,673,745
